1-响应时间, 1-执行时间, 1-执行成本,2-响应时间, 2-运输时间, 2-运输成本
16.0,88.0,106.0,72.0,8.0,54.0
27.0,27.0,129.0,69.0,72.0,24.0
73.0,59.0,144.0,49.0,51.0,27.0
76.0,62.0,31.0,26.0,24.0,14.0
63.0,68.0,12.0,72.0,40.0,128.0
16.0,23.0,48.0,60.0,40.0,94.0
46.0,67.0,117.0,28.0,32.0,34.0
49.0,24.0,86.0,77.0,46.0,10.0
71.0,39.0,77.0,32.0,71.0,24.0
67.0,81.0,78.0,23.0,12.0,12.0
80.0,7.0,133.0,39.0,61.0,71.0
20.0,84.0,42.0,52.0,31.0,35.0
21.0,47.0,24.0,14.0,72.0,143.0
69.0,10.0,111.0,72.0,11.0,25.0
61.0,77.0,51.0,82.0,17.0,53.0
33.0,19.0,37.0,33.0,58.0,113.0
79.0,60.0,37.0,71.0,79.0,76.0
13.0,19.0,62.0,86.0,10.0,78.0
63.0,58.0,88.0,26.0,72.0,131.0
70.0,57.0,119.0,61.0,43.0,6.0
79.0,10.0,14.0,32.0,30.0,145.0
21.0,25.0,48.0,82.0,40.0,53.0
61.0,89.0,125.0,31.0,42.0,101.0
17.0,22.0,36.0,52.0,19.0,110.0
65.0,73.0,71.0,58.0,31.0,137.0
52.0,10.0,36.0,89.0,38.0,39.0
18.0,40.0,142.0,70.0,87.0,83.0
90.0,77.0,137.0,48.0,44.0,102.0
55.0,68.0,56.0,35.0,87.0,9.0
45.0,40.0,115.0,9.0,9.0,61.0
84.0,66.0,98.0,37.0,41.0,46.0
23.0,61.0,112.0,43.0,10.0,94.0
33.0,20.0,111.0,82.0,33.0,64.0
22.0,23.0,29.0,12.0,49.0,101.0
25.0,14.0,130.0,85.0,52.0,71.0
62.0,31.0,142.0,16.0,32.0,100.0
56.0,36.0,136.0,34.0,70.0,65.0
57.0,55.0,52.0,63.0,80.0,119.0
68.0,39.0,107.0,41.0,7.0,37.0
23.0,75.0,58.0,64.0,56.0,78.0
49.0,90.0,43.0,13.0,78.0,82.0
87.0,18.0,13.0,9.0,12.0,82.0
83.0,69.0,32.0,5.0,19.0,58.0
61.0,13.0,49.0,26.0,49.0,10.0
74.0,52.0,72.0,45.0,29.0,105.0
68.0,22.0,47.0,31.0,72.0,39.0
21.0,41.0,110.0,23.0,59.0,77.0
28.0,23.0,22.0,41.0,44.0,32.0
17.0,24.0,149.0,80.0,6.0,43.0
67.0,15.0,75.0,45.0,88.0,101.0
52.0,16.0,85.0,51.0,51.0,51.0
61.0,73.0,115.0,64.0,37.0,135.0
72.0,81.0,84.0,58.0,67.0,71.0
34.0,82.0,50.0,86.0,84.0,50.0
57.0,13.0,30.0,67.0,20.0,150.0
59.0,7.0,100.0,14.0,65.0,53.0
76.0,89.0,37.0,26.0,28.0,106.0
79.0,51.0,92.0,67.0,68.0,25.0
53.0,50.0,91.0,33.0,62.0,80.0
68.0,6.0,83.0,39.0,75.0,60.0
84.0,30.0,31.0,31.0,64.0,13.0
72.0,9.0,84.0,81.0,35.0,72.0
63.0,87.0,132.0,33.0,19.0,33.0
61.0,11.0,29.0,89.0,32.0,110.0
67.0,55.0,88.0,42.0,68.0,39.0
34.0,22.0,52.0,70.0,10.0,83.0
71.0,13.0,91.0,24.0,48.0,69.0
60.0,89.0,70.0,7.0,19.0,119.0
23.0,46.0,83.0,35.0,26.0,145.0
61.0,71.0,58.0,64.0,85.0,136.0
74.0,22.0,51.0,23.0,36.0,131.0
32.0,66.0,55.0,40.0,32.0,85.0
15.0,46.0,104.0,47.0,16.0,108.0
50.0,35.0,70.0,9.0,69.0,130.0
86.0,72.0,131.0,84.0,69.0,18.0
84.0,50.0,18.0,32.0,31.0,88.0
26.0,25.0,72.0,44.0,67.0,50.0
60.0,68.0,64.0,69.0,23.0,36.0
55.0,81.0,101.0,69.0,37.0,34.0
52.0,38.0,28.0,78.0,9.0,129.0
43.0,67.0,53.0,87.0,16.0,128.0
65.0,37.0,16.0,61.0,29.0,17.0
42.0,26.0,51.0,54.0,54.0,134.0
63.0,56.0,102.0,38.0,39.0,29.0
33.0,48.0,26.0,13.0,83.0,120.0
11.0,16.0,6.0,57.0,30.0,47.0
30.0,36.0,52.0,9.0,79.0,115.0
30.0,74.0,73.0,39.0,69.0,26.0
30.0,25.0,46.0,54.0,65.0,115.0
42.0,65.0,110.0,52.0,8.0,58.0
47.0,12.0,70.0,17.0,73.0,25.0
36.0,89.0,75.0,21.0,9.0,8.0
48.0,47.0,37.0,63.0,40.0,68.0
50.0,23.0,24.0,74.0,49.0,112.0
7.0,54.0,15.0,30.0,56.0,104.0
77.0,81.0,32.0,25.0,6.0,32.0
73.0,25.0,58.0,90.0,57.0,35.0
12.0,14.0,133.0,89.0,57.0,51.0
30.0,10.0,64.0,48.0,86.0,19.0
23.0,29.0,107.0,37.0,71.0,139.0
