2-响应时间, 2-运输时间, 2-运输成本,3-响应时间, 3-运输时间, 3-执行时间, 3-运输成本, 3-执行成本
14.0,79.0,82.0,52.0,57.0,89.0,69.0,65.0
16.0,81.0,61.0,70.0,41.0,61.0,54.0,47.0
59.0,76.0,59.0,82.0,13.0,46.0,141.0,100.0
35.0,58.0,61.0,86.0,22.0,86.0,138.0,120.0
28.0,59.0,63.0,41.0,78.0,30.0,27.0,27.0
82.0,77.0,88.0,68.0,62.0,24.0,53.0,34.0
78.0,67.0,17.0,11.0,56.0,15.0,26.0,32.0
22.0,65.0,119.0,51.0,33.0,53.0,107.0,58.0
10.0,88.0,32.0,39.0,68.0,56.0,150.0,101.0
90.0,6.0,116.0,19.0,66.0,47.0,106.0,79.0
35.0,86.0,114.0,82.0,51.0,24.0,89.0,130.0
81.0,80.0,82.0,62.0,43.0,29.0,117.0,73.0
42.0,74.0,11.0,48.0,16.0,52.0,146.0,97.0
48.0,74.0,44.0,47.0,81.0,28.0,105.0,99.0
23.0,62.0,48.0,53.0,11.0,88.0,110.0,27.0
13.0,21.0,90.0,85.0,44.0,36.0,45.0,120.0
82.0,13.0,20.0,39.0,62.0,60.0,137.0,129.0
35.0,59.0,91.0,71.0,22.0,48.0,64.0,39.0
44.0,60.0,93.0,43.0,38.0,74.0,145.0,142.0
72.0,74.0,54.0,78.0,10.0,59.0,103.0,53.0
16.0,14.0,60.0,63.0,19.0,87.0,24.0,32.0
88.0,15.0,132.0,57.0,60.0,82.0,66.0,106.0
90.0,76.0,53.0,84.0,14.0,46.0,116.0,117.0
75.0,80.0,43.0,81.0,83.0,62.0,17.0,24.0
65.0,37.0,38.0,88.0,85.0,67.0,19.0,36.0
9.0,42.0,149.0,45.0,23.0,42.0,90.0,77.0
57.0,28.0,126.0,38.0,23.0,31.0,51.0,35.0
57.0,34.0,105.0,17.0,8.0,34.0,94.0,63.0
72.0,67.0,71.0,58.0,88.0,80.0,135.0,10.0
76.0,71.0,66.0,27.0,40.0,19.0,73.0,28.0
26.0,56.0,112.0,48.0,81.0,79.0,68.0,20.0
14.0,76.0,15.0,71.0,41.0,81.0,149.0,68.0
46.0,29.0,144.0,24.0,16.0,10.0,134.0,110.0
31.0,23.0,86.0,7.0,64.0,83.0,131.0,129.0
53.0,54.0,83.0,75.0,62.0,64.0,106.0,113.0
33.0,8.0,62.0,90.0,18.0,31.0,20.0,143.0
7.0,55.0,30.0,73.0,87.0,54.0,33.0,36.0
73.0,41.0,114.0,24.0,32.0,51.0,62.0,84.0
37.0,9.0,21.0,54.0,64.0,35.0,93.0,91.0
26.0,18.0,6.0,26.0,60.0,26.0,30.0,137.0
34.0,10.0,134.0,10.0,50.0,82.0,63.0,59.0
77.0,41.0,41.0,27.0,57.0,72.0,100.0,30.0
51.0,9.0,111.0,60.0,69.0,66.0,121.0,20.0
47.0,17.0,66.0,77.0,57.0,14.0,102.0,101.0
19.0,72.0,17.0,47.0,90.0,39.0,71.0,85.0
85.0,19.0,40.0,40.0,35.0,76.0,141.0,78.0
42.0,9.0,142.0,67.0,71.0,13.0,58.0,91.0
86.0,78.0,30.0,9.0,77.0,53.0,33.0,42.0
61.0,44.0,8.0,10.0,15.0,54.0,98.0,75.0
76.0,78.0,150.0,34.0,51.0,14.0,85.0,137.0
6.0,42.0,121.0,21.0,84.0,81.0,114.0,97.0
21.0,31.0,109.0,12.0,81.0,77.0,60.0,65.0
73.0,30.0,111.0,42.0,88.0,22.0,26.0,69.0
15.0,6.0,140.0,15.0,51.0,8.0,48.0,142.0
73.0,36.0,100.0,58.0,35.0,36.0,52.0,20.0
66.0,32.0,94.0,81.0,75.0,90.0,117.0,100.0
51.0,27.0,124.0,46.0,73.0,83.0,8.0,75.0
27.0,9.0,114.0,61.0,81.0,8.0,32.0,109.0
51.0,18.0,112.0,86.0,8.0,27.0,107.0,21.0
76.0,19.0,22.0,32.0,42.0,13.0,38.0,77.0
57.0,43.0,35.0,76.0,34.0,21.0,87.0,98.0
68.0,63.0,9.0,74.0,14.0,37.0,14.0,15.0
68.0,60.0,115.0,7.0,11.0,61.0,149.0,142.0
10.0,62.0,122.0,26.0,11.0,23.0,148.0,93.0
70.0,19.0,7.0,7.0,25.0,87.0,19.0,27.0
48.0,20.0,65.0,49.0,42.0,14.0,111.0,60.0
18.0,69.0,149.0,69.0,66.0,10.0,50.0,19.0
22.0,30.0,43.0,35.0,60.0,23.0,11.0,13.0
88.0,75.0,9.0,61.0,11.0,50.0,120.0,78.0
84.0,87.0,73.0,35.0,52.0,6.0,8.0,99.0
66.0,21.0,141.0,15.0,67.0,23.0,24.0,95.0
82.0,89.0,75.0,16.0,55.0,64.0,85.0,132.0
29.0,54.0,42.0,37.0,49.0,48.0,54.0,49.0
48.0,77.0,140.0,9.0,55.0,72.0,78.0,65.0
65.0,88.0,20.0,17.0,34.0,47.0,84.0,40.0
54.0,14.0,117.0,12.0,89.0,22.0,85.0,65.0
11.0,73.0,61.0,61.0,26.0,76.0,117.0,72.0
38.0,49.0,49.0,76.0,6.0,59.0,42.0,97.0
19.0,45.0,141.0,76.0,38.0,90.0,115.0,86.0
83.0,35.0,72.0,61.0,37.0,36.0,114.0,42.0
85.0,62.0,79.0,23.0,70.0,31.0,83.0,147.0
78.0,62.0,49.0,41.0,61.0,78.0,66.0,50.0
58.0,34.0,32.0,47.0,34.0,36.0,120.0,120.0
52.0,20.0,69.0,81.0,32.0,29.0,94.0,22.0
34.0,54.0,81.0,26.0,11.0,24.0,9.0,122.0
66.0,73.0,85.0,63.0,24.0,49.0,44.0,114.0
82.0,78.0,47.0,71.0,23.0,62.0,60.0,132.0
47.0,31.0,108.0,28.0,26.0,35.0,12.0,10.0
55.0,37.0,141.0,18.0,54.0,87.0,145.0,41.0
48.0,8.0,47.0,64.0,30.0,57.0,97.0,88.0
16.0,32.0,8.0,62.0,55.0,8.0,15.0,131.0
19.0,67.0,10.0,26.0,9.0,45.0,82.0,138.0
21.0,81.0,108.0,13.0,47.0,70.0,62.0,36.0
17.0,63.0,28.0,29.0,86.0,79.0,98.0,48.0
17.0,28.0,82.0,79.0,30.0,26.0,68.0,43.0
68.0,18.0,81.0,33.0,84.0,75.0,32.0,75.0
7.0,27.0,93.0,51.0,53.0,9.0,82.0,90.0
52.0,49.0,128.0,33.0,47.0,20.0,13.0,57.0
69.0,25.0,109.0,51.0,39.0,28.0,137.0,125.0
70.0,29.0,90.0,62.0,67.0,8.0,31.0,140.0
