1-响应时间, 1-执行时间, 1-执行成本,2-响应时间, 2-运输时间, 2-运输成本,3-响应时间, 3-运输时间, 3-执行时间, 3-运输成本, 3-执行成本
68.0,32.0,70.0,28.0,42.0,78.0,41.0,86.0,61.0,60.0,27.0
82.0,77.0,76.0,57.0,49.0,70.0,55.0,18.0,83.0,95.0,129.0
34.0,84.0,100.0,18.0,14.0,71.0,28.0,43.0,41.0,49.0,80.0
34.0,53.0,71.0,69.0,50.0,145.0,13.0,61.0,24.0,10.0,122.0
33.0,54.0,62.0,85.0,77.0,123.0,49.0,34.0,48.0,26.0,124.0
74.0,49.0,50.0,27.0,78.0,22.0,5.0,46.0,6.0,135.0,99.0
43.0,77.0,70.0,67.0,81.0,73.0,68.0,83.0,39.0,33.0,20.0
21.0,38.0,62.0,11.0,36.0,30.0,15.0,28.0,18.0,37.0,49.0
48.0,63.0,139.0,15.0,17.0,17.0,87.0,32.0,89.0,25.0,70.0
40.0,76.0,24.0,80.0,89.0,33.0,26.0,84.0,64.0,59.0,15.0
74.0,51.0,144.0,61.0,21.0,79.0,70.0,86.0,33.0,17.0,23.0
22.0,63.0,31.0,33.0,81.0,16.0,84.0,85.0,63.0,143.0,41.0
51.0,7.0,58.0,82.0,14.0,138.0,84.0,55.0,84.0,93.0,142.0
76.0,10.0,19.0,27.0,45.0,57.0,52.0,33.0,60.0,119.0,83.0
12.0,5.0,46.0,72.0,63.0,83.0,5.0,5.0,55.0,11.0,113.0
54.0,81.0,91.0,58.0,86.0,144.0,68.0,16.0,74.0,145.0,27.0
18.0,59.0,34.0,84.0,66.0,144.0,40.0,12.0,59.0,44.0,51.0
9.0,17.0,73.0,73.0,32.0,115.0,75.0,71.0,24.0,6.0,95.0
41.0,60.0,47.0,13.0,14.0,81.0,86.0,90.0,77.0,113.0,146.0
69.0,87.0,46.0,84.0,34.0,110.0,36.0,11.0,42.0,104.0,44.0
72.0,72.0,55.0,32.0,46.0,28.0,55.0,90.0,37.0,60.0,62.0
47.0,25.0,103.0,50.0,21.0,51.0,49.0,57.0,51.0,117.0,120.0
22.0,53.0,79.0,57.0,45.0,36.0,22.0,47.0,11.0,101.0,93.0
20.0,76.0,40.0,14.0,88.0,123.0,85.0,41.0,62.0,34.0,48.0
21.0,27.0,141.0,55.0,13.0,118.0,69.0,26.0,55.0,83.0,24.0
77.0,61.0,148.0,90.0,35.0,33.0,14.0,83.0,37.0,64.0,140.0
29.0,74.0,72.0,6.0,43.0,81.0,19.0,13.0,85.0,65.0,21.0
71.0,40.0,74.0,20.0,32.0,90.0,78.0,81.0,55.0,126.0,106.0
90.0,57.0,145.0,21.0,17.0,32.0,39.0,21.0,53.0,18.0,27.0
17.0,45.0,54.0,26.0,45.0,56.0,43.0,80.0,66.0,150.0,99.0
36.0,67.0,109.0,60.0,74.0,80.0,19.0,8.0,19.0,33.0,38.0
56.0,68.0,18.0,52.0,9.0,35.0,17.0,43.0,25.0,80.0,59.0
45.0,70.0,85.0,12.0,52.0,95.0,15.0,9.0,83.0,5.0,10.0
12.0,43.0,81.0,22.0,70.0,115.0,89.0,76.0,59.0,110.0,137.0
47.0,90.0,34.0,83.0,71.0,74.0,34.0,5.0,8.0,85.0,14.0
13.0,48.0,47.0,36.0,5.0,126.0,71.0,7.0,46.0,65.0,46.0
88.0,64.0,104.0,75.0,25.0,136.0,7.0,37.0,25.0,67.0,28.0
15.0,38.0,7.0,46.0,68.0,76.0,43.0,67.0,66.0,27.0,102.0
80.0,89.0,135.0,37.0,59.0,25.0,63.0,10.0,6.0,65.0,99.0
32.0,30.0,5.0,75.0,20.0,93.0,70.0,58.0,16.0,71.0,136.0
31.0,62.0,117.0,58.0,62.0,91.0,53.0,73.0,77.0,36.0,98.0
68.0,21.0,29.0,80.0,63.0,47.0,56.0,6.0,30.0,36.0,94.0
78.0,13.0,13.0,65.0,73.0,148.0,72.0,67.0,24.0,114.0,42.0
40.0,73.0,82.0,41.0,67.0,102.0,28.0,21.0,44.0,27.0,56.0
10.0,15.0,98.0,78.0,88.0,117.0,83.0,7.0,42.0,147.0,53.0
74.0,66.0,28.0,89.0,62.0,42.0,13.0,38.0,51.0,68.0,106.0
49.0,37.0,139.0,55.0,70.0,117.0,11.0,32.0,9.0,73.0,62.0
76.0,88.0,23.0,62.0,11.0,71.0,85.0,26.0,19.0,56.0,7.0
63.0,26.0,70.0,33.0,19.0,90.0,80.0,22.0,40.0,68.0,137.0
77.0,43.0,90.0,50.0,89.0,120.0,16.0,37.0,33.0,55.0,70.0
66.0,84.0,18.0,25.0,60.0,99.0,32.0,18.0,64.0,130.0,98.0
30.0,37.0,99.0,21.0,68.0,68.0,15.0,20.0,28.0,24.0,25.0
64.0,58.0,126.0,40.0,44.0,60.0,30.0,49.0,28.0,25.0,54.0
26.0,81.0,134.0,37.0,68.0,93.0,16.0,60.0,74.0,36.0,138.0
49.0,44.0,14.0,18.0,30.0,35.0,89.0,60.0,70.0,56.0,36.0
54.0,12.0,105.0,81.0,71.0,131.0,86.0,60.0,67.0,148.0,138.0
78.0,90.0,144.0,60.0,43.0,24.0,83.0,59.0,6.0,29.0,119.0
16.0,11.0,38.0,15.0,46.0,41.0,89.0,74.0,8.0,64.0,76.0
12.0,13.0,18.0,13.0,38.0,107.0,28.0,13.0,54.0,45.0,88.0
80.0,75.0,102.0,32.0,12.0,112.0,76.0,43.0,73.0,46.0,146.0
52.0,51.0,150.0,18.0,74.0,79.0,74.0,38.0,33.0,78.0,141.0
46.0,81.0,11.0,69.0,67.0,130.0,65.0,27.0,70.0,62.0,33.0
30.0,63.0,149.0,38.0,5.0,135.0,51.0,25.0,87.0,60.0,79.0
45.0,88.0,21.0,29.0,73.0,44.0,77.0,82.0,21.0,146.0,73.0
48.0,26.0,27.0,79.0,84.0,83.0,38.0,13.0,83.0,96.0,51.0
18.0,89.0,92.0,47.0,72.0,74.0,8.0,62.0,12.0,21.0,25.0
31.0,43.0,134.0,24.0,77.0,60.0,65.0,56.0,13.0,72.0,64.0
37.0,34.0,134.0,51.0,44.0,52.0,68.0,26.0,61.0,107.0,74.0
70.0,47.0,122.0,59.0,85.0,13.0,20.0,15.0,52.0,22.0,93.0
37.0,65.0,149.0,44.0,89.0,53.0,84.0,12.0,80.0,92.0,121.0
57.0,24.0,59.0,80.0,78.0,91.0,37.0,79.0,27.0,101.0,6.0
86.0,53.0,35.0,64.0,46.0,148.0,17.0,23.0,21.0,24.0,57.0
80.0,35.0,68.0,60.0,36.0,18.0,38.0,66.0,52.0,15.0,130.0
54.0,52.0,119.0,88.0,58.0,118.0,30.0,15.0,47.0,21.0,132.0
85.0,62.0,128.0,35.0,37.0,64.0,14.0,20.0,53.0,130.0,82.0
76.0,45.0,133.0,44.0,73.0,143.0,6.0,71.0,26.0,12.0,7.0
74.0,36.0,49.0,35.0,14.0,111.0,67.0,35.0,47.0,106.0,110.0
49.0,22.0,6.0,57.0,68.0,91.0,30.0,37.0,41.0,31.0,129.0
37.0,89.0,15.0,85.0,11.0,49.0,24.0,53.0,80.0,38.0,103.0
57.0,65.0,48.0,86.0,71.0,141.0,69.0,75.0,28.0,63.0,138.0
39.0,73.0,26.0,74.0,81.0,49.0,90.0,35.0,58.0,105.0,134.0
73.0,68.0,5.0,88.0,27.0,65.0,20.0,87.0,89.0,6.0,76.0
71.0,56.0,67.0,84.0,90.0,136.0,7.0,71.0,51.0,69.0,85.0
37.0,48.0,86.0,50.0,64.0,24.0,88.0,42.0,75.0,45.0,106.0
90.0,81.0,6.0,68.0,43.0,22.0,56.0,82.0,61.0,51.0,126.0
77.0,42.0,9.0,11.0,7.0,94.0,64.0,60.0,81.0,123.0,144.0
80.0,75.0,113.0,21.0,66.0,84.0,39.0,6.0,42.0,74.0,45.0
23.0,26.0,116.0,71.0,7.0,111.0,49.0,50.0,63.0,92.0,117.0
37.0,36.0,122.0,71.0,68.0,78.0,55.0,53.0,31.0,79.0,93.0
7.0,21.0,34.0,33.0,11.0,12.0,51.0,90.0,45.0,131.0,79.0
83.0,32.0,87.0,11.0,78.0,23.0,13.0,41.0,65.0,102.0,32.0
68.0,64.0,81.0,30.0,68.0,80.0,83.0,29.0,26.0,80.0,60.0
79.0,26.0,121.0,47.0,5.0,124.0,90.0,25.0,55.0,149.0,72.0
61.0,56.0,145.0,77.0,56.0,78.0,34.0,81.0,21.0,111.0,26.0
72.0,13.0,39.0,53.0,28.0,104.0,51.0,65.0,27.0,30.0,82.0
12.0,78.0,123.0,77.0,64.0,14.0,57.0,29.0,6.0,60.0,45.0
83.0,69.0,94.0,89.0,77.0,87.0,75.0,14.0,75.0,69.0,107.0
8.0,80.0,91.0,38.0,40.0,102.0,29.0,57.0,90.0,112.0,128.0
89.0,15.0,14.0,75.0,64.0,150.0,68.0,58.0,44.0,37.0,130.0
41.0,44.0,125.0,40.0,41.0,139.0,65.0,39.0,65.0,93.0,21.0
