1-响应时间, 1-执行时间, 1-执行成本,3-响应时间, 3-运输时间, 3-执行时间, 3-运输成本, 3-执行成本
87.0,61.0,43.0,72.0,84.0,21.0,14.0,61.0
63.0,12.0,75.0,43.0,63.0,59.0,16.0,121.0
82.0,67.0,99.0,17.0,7.0,68.0,83.0,14.0
25.0,43.0,145.0,85.0,60.0,24.0,68.0,34.0
21.0,71.0,144.0,80.0,35.0,47.0,28.0,109.0
28.0,12.0,18.0,56.0,42.0,36.0,22.0,39.0
56.0,56.0,6.0,33.0,65.0,68.0,127.0,106.0
87.0,58.0,89.0,76.0,67.0,29.0,33.0,31.0
89.0,43.0,79.0,81.0,61.0,38.0,10.0,5.0
10.0,22.0,40.0,7.0,61.0,46.0,135.0,99.0
8.0,21.0,75.0,23.0,22.0,29.0,78.0,48.0
58.0,20.0,149.0,84.0,85.0,34.0,8.0,124.0
48.0,23.0,126.0,12.0,12.0,17.0,65.0,27.0
85.0,53.0,45.0,61.0,60.0,57.0,9.0,18.0
35.0,80.0,58.0,8.0,14.0,55.0,108.0,108.0
54.0,34.0,106.0,34.0,52.0,7.0,49.0,109.0
42.0,80.0,90.0,38.0,25.0,35.0,12.0,113.0
76.0,55.0,149.0,64.0,34.0,86.0,71.0,69.0
75.0,85.0,48.0,56.0,62.0,22.0,19.0,139.0
68.0,65.0,8.0,87.0,79.0,27.0,49.0,46.0
79.0,84.0,123.0,28.0,49.0,75.0,98.0,25.0
38.0,54.0,91.0,84.0,77.0,56.0,41.0,6.0
10.0,42.0,70.0,50.0,7.0,7.0,121.0,100.0
47.0,21.0,41.0,17.0,69.0,39.0,74.0,10.0
41.0,17.0,79.0,17.0,33.0,11.0,95.0,82.0
11.0,29.0,103.0,57.0,60.0,10.0,68.0,111.0
10.0,17.0,124.0,56.0,24.0,30.0,12.0,143.0
36.0,53.0,105.0,40.0,28.0,58.0,134.0,50.0
10.0,75.0,33.0,33.0,10.0,8.0,145.0,119.0
38.0,87.0,82.0,52.0,88.0,87.0,38.0,81.0
67.0,10.0,48.0,27.0,85.0,62.0,52.0,28.0
8.0,82.0,7.0,43.0,69.0,79.0,77.0,11.0
37.0,35.0,33.0,70.0,23.0,52.0,142.0,131.0
78.0,73.0,9.0,53.0,72.0,38.0,145.0,106.0
76.0,76.0,108.0,23.0,40.0,55.0,16.0,56.0
30.0,51.0,10.0,55.0,54.0,5.0,134.0,39.0
66.0,85.0,133.0,31.0,20.0,21.0,128.0,71.0
90.0,73.0,86.0,46.0,31.0,6.0,45.0,31.0
16.0,87.0,87.0,24.0,62.0,89.0,16.0,137.0
76.0,41.0,82.0,61.0,49.0,73.0,9.0,71.0
29.0,64.0,119.0,25.0,70.0,10.0,15.0,38.0
50.0,78.0,106.0,38.0,17.0,39.0,149.0,38.0
5.0,15.0,106.0,80.0,29.0,8.0,37.0,50.0
43.0,48.0,36.0,29.0,64.0,67.0,16.0,54.0
11.0,27.0,82.0,35.0,70.0,71.0,74.0,121.0
32.0,55.0,81.0,20.0,6.0,29.0,21.0,86.0
28.0,36.0,66.0,20.0,37.0,35.0,60.0,103.0
65.0,56.0,32.0,71.0,62.0,20.0,14.0,104.0
56.0,24.0,92.0,50.0,68.0,75.0,67.0,141.0
10.0,8.0,73.0,14.0,89.0,76.0,64.0,129.0
7.0,42.0,72.0,9.0,70.0,69.0,5.0,57.0
67.0,43.0,33.0,38.0,60.0,14.0,90.0,127.0
15.0,47.0,136.0,87.0,66.0,25.0,60.0,70.0
18.0,52.0,46.0,69.0,89.0,49.0,146.0,90.0
41.0,45.0,66.0,62.0,7.0,40.0,29.0,145.0
40.0,49.0,147.0,13.0,49.0,86.0,103.0,65.0
49.0,55.0,57.0,60.0,69.0,76.0,135.0,123.0
66.0,71.0,60.0,67.0,85.0,30.0,107.0,104.0
5.0,17.0,114.0,20.0,79.0,63.0,75.0,87.0
48.0,45.0,31.0,33.0,84.0,5.0,41.0,141.0
78.0,7.0,94.0,82.0,36.0,86.0,101.0,116.0
56.0,14.0,53.0,71.0,77.0,14.0,88.0,115.0
85.0,90.0,59.0,63.0,30.0,85.0,75.0,146.0
73.0,75.0,91.0,90.0,76.0,85.0,129.0,76.0
13.0,36.0,57.0,71.0,11.0,39.0,66.0,133.0
70.0,85.0,18.0,35.0,29.0,11.0,134.0,45.0
49.0,35.0,133.0,11.0,90.0,54.0,92.0,5.0
17.0,59.0,104.0,67.0,68.0,60.0,81.0,125.0
31.0,59.0,55.0,43.0,58.0,84.0,96.0,14.0
86.0,30.0,97.0,31.0,44.0,75.0,26.0,111.0
28.0,44.0,48.0,22.0,39.0,67.0,56.0,5.0
66.0,14.0,131.0,52.0,61.0,81.0,49.0,52.0
26.0,84.0,81.0,10.0,7.0,75.0,69.0,49.0
40.0,78.0,36.0,27.0,18.0,72.0,34.0,94.0
42.0,74.0,81.0,50.0,80.0,29.0,86.0,12.0
28.0,24.0,26.0,79.0,6.0,15.0,113.0,47.0
53.0,39.0,40.0,65.0,57.0,19.0,147.0,77.0
63.0,10.0,121.0,18.0,44.0,90.0,81.0,39.0
51.0,37.0,92.0,69.0,62.0,29.0,141.0,73.0
85.0,19.0,110.0,45.0,75.0,47.0,93.0,103.0
31.0,13.0,127.0,56.0,40.0,35.0,48.0,147.0
53.0,57.0,40.0,85.0,71.0,53.0,90.0,68.0
41.0,32.0,67.0,11.0,21.0,75.0,14.0,139.0
